Project Title,Base Link,Publication Title,Authors,Published In,DOI,Link
Innovative Solutions for Plastic Free European Rivers,https://cordis.europa.eu/project/id/101112879,"Characterization of Poly(3-hydroxybutyrate) (P3HB) from Alternative, Scalable (Waste) Feedstocks",,,,https://doi.org/10.3390/bioengineering10121382
A SUstainable integrated Route to convert waste PLAStics to H2 and low carbon liquid fuels,https://cordis.europa.eu/project/id/101068372,Highly Efficient Cobalt Sulfide Heterostructures Fabricated on Nickel Foam Electrodes for Oxygen Evolution Reaction in Alkaline Water Electrolysis Cells,,,,https://doi.org/10.3390/surfaces6040033
A SUstainable integrated Route to convert waste PLAStics to H2 and low carbon liquid fuels,https://cordis.europa.eu/project/id/101068372,Opportunities and challenges for direct electrification of chemical processes with protonic ceramic membrane reactors,,,,https://doi.org/10.1088/2516-1083/ad80f4
"Combining CT Scanning and Spectroscopy to Characterise Micro-Plastics, a Growing Threat to Seabirds and other Marine Animals",https://cordis.europa.eu/project/id/101030480,"Quantitative photography for rapid, reliable measurement of marine macro-plastic pollution",,,,https://doi.org/10.1111/2041-210x.14267
INCREACE - INCREASING RECYCLED CONTENT IN ADDED VALUE PRODUCTS FOR A RESILIENT AND DIGITIZED CIRCULAR ECONOMY,https://cordis.europa.eu/project/id/101058487,Clarifying European terminology in plastics recycling,,,,https://doi.org/10.1016/j.cogsc.2023.100871
Predicting the fate of plaSTic On beaches by theiR 3D-distribution and weAtherinG procEsses,https://cordis.europa.eu/project/id/101061749,Computer vision segmentation model—deep learning for categorizing microplastic debris,,,,https://doi.org/10.3389/fenvs.2024.1386292
Electrified conversion of plastic waste into olefins & downstream integration,https://cordis.europa.eu/project/id/101058412,Hydrothermal carbonization of plastic waste: A review of its potential in alternative energy applications,,,,https://doi.org/10.1016/j.jfueco.2023.100103
Business-driven systemic solutions for sustainable plastic packaging reuse schemes in mass market applications,https://cordis.europa.eu/project/id/101059923,Does Providing Information about Cleaning Increase People’s Willingness to (Re)Use Bowls That Show Signs of Previous Use?,,,,https://doi.org/10.5281/zenodo.12511442
Eco conversion of lower grade PET and mixed recalcitrant PET plastic waste into high performing biopolymers,https://cordis.europa.eu/project/id/101046758,Triangular Silver Nanoparticles Synthesis: Investigating Potential Application in Materials and Biosensing,,,,https://doi.org/10.3390/app13148100
Integrated Cross-Sectoral Solutions to Micro- and Nanoplastic Pollution in Soil and Groundwater Ecosystems,https://cordis.europa.eu/project/id/101072777,Microbial Ecology,,,,https://doi.org/10.1007/s00248-023-02199-6
Integrated Cross-Sectoral Solutions to Micro- and Nanoplastic Pollution in Soil and Groundwater Ecosystems,https://cordis.europa.eu/project/id/101072777,Prediction of future microplastic accumulation in agricultural soils,,,,https://doi.org/10.1016/j.envpol.2024.124587
Macro and Microplastic in Agricultural Soil Systems,https://cordis.europa.eu/project/id/955334,Fragmentation and depolymerization of microplastics in the earthworm gut: A potential for microplastic bioremediation?,,,,https://doi.org/10.1016/j.jhazmat.2023.130765
Macro and Microplastic in Agricultural Soil Systems,https://cordis.europa.eu/project/id/955334,"Microplastic appraisal of soil, water, ditch sediment and airborne dust: The case of agricultural systems",,,,https://doi.org/10.1016/j.envpol.2022.120513
Macro and Microplastic in Agricultural Soil Systems,https://cordis.europa.eu/project/id/955334,Microplastics: A review of policies and responses,,,,https://doi.org/10.3390/microplastics2010001
FIBRE composite manufacturing technologies FOR the automation and modular construction in shipYARDS,https://cordis.europa.eu/project/id/101006860,A comprehensive review on structural joining techniques in the marine industry,,,,https://doi.org/10.1016/j.compstruct.2022.115490
FIBRE composite manufacturing technologies FOR the automation and modular construction in shipYARDS,https://cordis.europa.eu/project/id/101006860,FIBRE4YARDS: Fibre Composite Manufacturing Technologies for the Automation and Modular Construction in Shipyards,,,,https://doi.org/10.23967/r.matcomp.2022.11.06
FIBRE composite manufacturing technologies FOR the automation and modular construction in shipYARDS,https://cordis.europa.eu/project/id/101006860,Application of Life Cycle Assessment to Analysis of Fibre Composite Manufacturing Technologies in Shipyards Industry,,,,https://doi.org/10.3390/pr12030461
FIBRE composite manufacturing technologies FOR the automation and modular construction in shipYARDS,https://cordis.europa.eu/project/id/101006860,"Composite materials, technologies and manufacturing: current scenario of European Union shipyards",,,,https://doi.org/10.1080/17445302.2023.2229160
The fate and persistence of microplastics and associated pathogens in lowland rivers,https://cordis.europa.eu/project/id/833702,Hydromorphologic control of streambed fine particle standing stocks influences in-stream aerobic respiration,,,,https://doi.org/10.3389/frwa.2021.682905
The fate and persistence of microplastics and associated pathogens in lowland rivers,https://cordis.europa.eu/project/id/833702,Modeling Contaminant Microbes in Rivers During Both Baseflow and Stormflow,,,,https://doi.org/10.1029/2021gl096514
The fate and persistence of microplastics and associated pathogens in lowland rivers,https://cordis.europa.eu/project/id/833702,Stream Hydrology Controls the Longitudinal Bioreactive Footprint of Urban-Sourced Fine Particles,,,,https://doi.org/10.1021/acs.est.2c00876
The fate and persistence of microplastics and associated pathogens in lowland rivers,https://cordis.europa.eu/project/id/833702,"Hydrologic controls on the accumulation of different sized microplastics in the streambed sediments downstream of a wastewater treatment plant (Catalonia, Spain)",,,,https://doi.org/10.1088/1748-9326/ac3179
The fate and persistence of microplastics and associated pathogens in lowland rivers,https://cordis.europa.eu/project/id/833702,Microplastic accumulation in riverbed sediment via hyporheic exchange from headwaters to mainstems,,,,https://doi.org/10.1126/sciadv.abi9305
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Bio-upcycling of multilayer materials and blends: closing the plastics loop,,,,https://doi.org/10.1016/j.copbio.2023.102938
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,"Efficient Depolymerization of Poly(ethylene 2,5-furanoate) UsingPolyester Hydrolases",,,,https://doi.org/10.1021/acssuschemeng.4c00915
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Critical Review on the Progress of Plastic Bioupcycling Technology as a Potential Solution for Sustainable Plastic Waste Management,,,,https://doi.org/10.3390/polym14224996
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Bioleaching/enzyme-based recycling of aluminium and polyethylene from beverage cartons packaging waste,,,,https://doi.org/10.1016/j.resconrec.2022.106444
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Open Loop Recycling – Guanidine Iron(II) Polymerization Catalyst for the Depolymerization of Polylactide,,,,https://doi.org/10.1002/asia.202201195
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Effective Ligand Design: Zinc Complexes with Guanidine Hydroquinoline Ligands for Fast Lactide Polymerization and Chemical Recycling,,,,https://doi.org/10.1002/cssc.202201075
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,"Closing the loop for poly(butylene-adipate-coterephthalate) recycling: depolymerization, monomers separation, and upcycling.",,,,https://doi.org/10.1039/d3gc04728h
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Combined thermochemical-biotechnological approach for the valorization of polyolefins into polyhydroxyalkanoates: Development of an integrated bioconversion process by microbial consortia,,,,https://doi.org/10.1016/j.chemosphere.2024.143671
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Improving 5-(hydroxymethyl)furfural (HMF) tolerance of Pseudomonas taiwanensis VLB120 by automated adaptive laboratory evolution (ALE),,,,https://doi.org/10.1016/j.mec.2024.e00235
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Assessing the Economic Viability of the Plastic Biorefinery Concept and Its Contribution to a More Circular Plastic Sector,,,,https://doi.org/10.3390/polym13223883
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,A Multitool for Circular Economy – Fast Ring-Opening Polymerization and Chemical Recycling of (Bio)polyesters Using a Single Aliphatic Guanidine Carboxy Zinc Catalyst,,,,https://doi.org/10.1002/cssc.202300192
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Guanidine Carboxy Zinc Complexes for the Chemical Recycling of Renewable Polyesters,,,,https://doi.org/10.1002/cplu.202200029
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Microbial synthesis of the plant natural product precursor p-coumaric acid with Corynebacterium glutamicum,,,,https://doi.org/10.1186/s12934-023-02222-y
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,"Engineering 5-hydroxymethylfurfural (HMF) oxidation in Pseudomonas boosts tolerance and accelerates 2,5-furandicarboxylic acid (FDCA) production",,,,https://doi.org/10.1016/j.ymben.2023.12.010
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Understanding structure–activity relationships: iron(ii) complexes of “Legacy Guanidines” as catalysts for the synthesis of polylactide,,,,https://doi.org/10.1039/d3cy01117h
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,The metabolic potential of plastics as biotechnological carbon sources – Review and targets for the future.,,,,https://doi.org/10.1016/j.ymben.2021.12.006
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Cutinase-Catalyzed Polyester-Polyurethane Degradation: Elucidation of the Hydrolysis Mechanism,,,,https://doi.org/10.3390/polym14030411
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Engineering a Pseudomonas taiwanensis 4-coumarate platform for production of para-hydroxy aromatics with high yield and specificity,,,,https://doi.org/10.1016/j.ymben.2023.05.004
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Proteomic characterisation of polyethylene terephthalate and monomer degradation by Ideonella sakaiensis,,,,https://doi.org/10.1016/j.jprot.2023.104888
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Rational Protein Engineering to Increase the Activity and Stability of IsPETase Using the PROSS Algorithm,,,,https://doi.org/10.3390/polym13223884
sUstainable PLastIcs for the Food and drink packaging indusTry,https://cordis.europa.eu/project/id/953073,Contribution of Fermentation Technology to Building Blocks for Renewable Plastics,,,,https://doi.org/10.3390/fermentation8020047
Microplastics: morphological and genetic developmental effects in a marine invertebrate.,https://cordis.europa.eu/project/id/882904,Plastic leachate-induced toxicity during sea urchin embryonic development: Insights into the molecular pathways affected by PVC,,,,https://doi.org/10.1016/j.scitotenv.2022.160901
Microplastics: morphological and genetic developmental effects in a marine invertebrate.,https://cordis.europa.eu/project/id/882904,PVC pellet leachates affect adult immune system and embryonic development but not reproductive capacity in the sea urchin Paracentrotus lividus,,,,https://doi.org/10.1016/j.marpolbul.2023.115604
Microplastics: morphological and genetic developmental effects in a marine invertebrate.,https://cordis.europa.eu/project/id/882904,Transgenerational effects on development following microplastic exposure in Drosophila melanogaster,,,,https://doi.org/10.7717/peerj.11369
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,"Microplastics in food: scoping review on health effects, occurrence, and human exposure",,,,https://doi.org/10.1186/s40550-022-00093-6
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Comparative profiling and exposure assessment of microplastics in differently sized Manila clams from South Korea by μFTIR and Nile Red staining,,,,https://doi.org/10.1016/j.marpolbul.2022.113846
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Ultrasensitive Quantification of Crustacean Tropomyosin by Immuno-PCR,,,,https://doi.org/10.3390/ijms242015410
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Small Polystyrene Microplastics Interfere with the Breakdown of Milk Proteins During Static in Vitro Simulated Human Gastric Digestion,,,,https://doi.org/10.1016/j.envpol.2023.122282
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,New insights into the combined toxicity of aflatoxin B1 and fumonisin B1 in HepG2 cells using Seahorse respirometry analysis and RNA transcriptome sequencing,,,,https://doi.org/10.1016/j.envint.2023.107945
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,"Nano- and Microplastics Migration from Plastic Food Packaging into Dairy Products: Impact on Nutrient Digestion, Absorption, and Metabolism",,,,https://doi.org/10.3390/foods12163043
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Bioenergetic effects of pristine and ultraviolet-weathered polydisperse polyethylene terephthalate and polystyrene nanoplastics on human intestinal Caco-2 cells,,,,https://doi.org/10.1016/j.scitotenv.2023.168267
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Characterization of Nanoprecipitated PET Nanoplastics by 1H NMR and Impact of Residual Ionic Surfactant on Viability of Human Primary Mononuclear Cells and Hemolysis of Erythrocytes,,,,https://doi.org/10.3390/polym15244703
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Ovalbumin interaction with polystyrene and polyethylene terephthalate microplastics alters its structural properties,,,,https://doi.org/10.1016/j.ijbiomac.2024.131564
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Bioenergetic Status of the Intestinal and Hepatic Cells after Short Term Exposure to Fumonisin B1 and Aflatoxin B1,,,,https://doi.org/10.3390/ijms23136945
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Foodborne pathogens in the plastisphere: Can microplastics in the food chain threaten microbial food safety?,,,,https://doi.org/10.1016/j.tifs.2022.08.021
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,"Cellular and bioenergetic effects of polystyrene microplastic in function of cell type, differentiation status and post-exposure time",,,,https://doi.org/10.1016/j.envpol.2023.122550
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Research gaps and future needs for allergen prediction in food safety,,,,https://doi.org/10.3389/falgy.2024.1297547
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Probing Long-Term Impacts: Low-Dose Polystyrene Nanoplastics Exacerbate Mitochondrial Health and Evoke Secondary Glycolysis via Repeated and Single Dosing,,,,https://doi.org/10.1021/acs.est.3c10868
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Current Knowledge of Individual and Combined Toxicities of Aflatoxin B1 and Fumonisin B1 In Vitro,,,,https://doi.org/10.3390/toxins15110653
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Animal Models for the Study of Food Allergies,,,,https://doi.org/10.1002/cpz1.685
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Experimental accumulation and depuration kinetics and natural occurrence of microcystin-LR in basil (Ocimum basilicum L.).,,,,https://doi.org/10.1016/j.envpol.2024.123715
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,"Development, Validation and Application of a Targeted LC-MS Method for Quantification of Microcystins and Nodularin: Towards a Better Characterization of Drinking Water.",,,,https://doi.org/10.3390/w14081195
AN INNOVATIVE ANALYTICAL PLATFORM TO INVESTIGATE THE EFFECT AND TOXICITY OF MICRO AND NANO PLASTICS COMBINED WITH ENVIRONMENTAL CONTAMINANTS ON THE RISK OF ALLERGIC DISEASE IN PRECLINICAL AND CLINICAL,https://cordis.europa.eu/project/id/965173,Towards a Better Quantification of Cyanotoxins in Fruits and Vegetables: Validation and Application of an UHPLC-MS/MS-Based Method on Belgian Products,,,,https://doi.org/10.3390/separations9100319
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Does size matter? A proteomics-informed comparison of the effects of polystyrene beads of different sizes on macrophages,,,,https://doi.org/10.1039/d2en00214k
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,In Vitro Approaches to Determine the Potential Carcinogenic Risk of Environmental Pollutants,,,,https://doi.org/10.3390/ijms24097851
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Investigating nanoplastics toxicity using advanced stem cell-based intestinal and lung in vitro models,,,,https://doi.org/10.3389/ftox.2023.1112212
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Emerging Role of NLRP3 Inflammasome and Pyroptosis in Liver Transplantation,,,,https://doi.org/10.3390/ijms232214396
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Titanium-doped PET nanoplastics of environmental origin as a true-to-life model of nanoplastic,,,,https://doi.org/10.1016/j.scitotenv.2023.163151
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Lipid-protein interactions regulating the canonical and the non-canonical NLRP3 inflammasome,,,,https://doi.org/10.1016/j.plipres.2022.101182
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Pathogenic NLRP3 mutants form constitutively active inflammasomes resulting in immune-metabolic limitation of IL-1β production,,,,https://doi.org/10.1038/s41467-024-44990-0
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Hazard assessment of ingested polystyrene nanoplastics in <i>Drosophila</i> larvae,,,,https://doi.org/10.1039/d1en01199e
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Hazard assessment of different-sized polystyrene nanoplastics in hematopoietic human cell lines,,,,https://doi.org/10.1016/j.chemosphere.2023.138360
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,NLRP3 Inflammasome and Pyroptosis in Liver Pathophysiology: The Emerging Relevance of Nrf2 Inducers,,,,https://doi.org/10.3390/antiox11050870
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,"The release of polylactic acid nanoplastics (PLA-NPLs) from commercial teabags. Obtention, characterization, and hazard effects of true-to-life PLA-NPLs",,,,https://doi.org/10.1016/j.jhazmat.2023.131899
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Long-term exposure to nanoplastics alters molecular and functional traits related to the carcinogenic process,,,,https://doi.org/10.1016/j.jhazmat.2022.129470
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Soluble P2X7 receptor is elevated in the plasma of COVID-19 patients and correlates with disease severity,,,,https://doi.org/10.1101/2022.03.04.483019
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Long-Term Effects of Polystyrene Nanoplastics in Human Intestinal Caco-2 Cells.,,,,https://doi.org/10.3390/biom11101442
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,"Toxicological Profiling and Long-Term Effects of Bare, PEGylated- and Galacto-Oligosaccharide-Functionalized Mesoporous Silica Nanoparticles",,,,https://doi.org/10.3390/ijms242216158
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,NLRP3 inflammasome activation and symptom burden in KRAS-mutated CMML patients is reverted by IL-1 blocking therapy,,,,https://doi.org/10.1016/j.xcrm.2023.101329
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Are bioplastics safe? Hazardous effects of polylactic acid (PLA) nanoplastics in Drosophila,,,,https://doi.org/10.1016/j.scitotenv.2024.170592
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,"Hazard Assessment of Polystyrene Nanoplastics in Primary Human Nasal Epithelial Cells, Focusing on the Autophagic Effects",,,,https://doi.org/10.3390/biom13020220
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,P2X7 receptor activation impairs antitumour activity of natural killer cells,,,,https://doi.org/10.1111/bph.15951
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Harmful effects of true-to-life nanoplastics derived from PET water bottles in mouse alveolar macrophages,,,,https://doi.org/10.1016/j.envpol.2024.123823
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,The in vitro gastrointestinal digestion-associated protein corona of polystyrene nano- and microplastics increases their uptake by human THP-1-derived macrophages,,,,https://doi.org/10.21203/rs.3.rs-3453458/v1
Innovative tools to study the impact and mode of action of micro and nanoplastics on human health: towards a knowledge base for risk assessment,https://cordis.europa.eu/project/id/965196,Insights into the potential carcinogenicity of micro- and nano-plastics,,,,https://doi.org/10.1016/j.mrrev.2023.108453
